parameter,value
result,completed
channel,can0
device_id,1
step_seconds,6.0
final_seconds,6.0
max_duty_percent,100
frames_spec,2.1.0
heartbeat_and_refresh_s,0.02
status_periods,existing configuration; not modified
encoder_units,RPM and rotations ONLY if conversion factors are 1
test_note,
t0_unix_s,1789785044.527487
monotonic_duration_s,132.00007472400011
status_0_count,6600
status_0_nonpositive_intervals,0
status_0_dt_mean_ms,19.999605613254133
status_0_dt_median_ms,19.99950408935547
status_0_dt_min_ms,19.585609436035156
status_0_dt_max_ms,20.377635955810547
status_0_rate_hz,50.00098598630767
status_2_count,6600
status_2_nonpositive_intervals,0
status_2_dt_mean_ms,19.999595858288778
status_2_dt_median_ms,19.99974250793457
status_2_dt_min_ms,19.54174041748047
status_2_dt_max_ms,20.37978172302246
status_2_rate_hz,50.00101037469478
